index,acq_ms,proc_ms,write_ms,frame_ms
35,0.011145,,0.184688,0.196927
36,0.010833,,0.184896,0.196562
37,0.010468,,0.187865,0.199427
38,0.010729,,0.186406,0.198281
39,0.009114,,0.183542,0.193802
40,0.010417,,0.224167,0.235469
41,0.010833,,0.182344,0.194062
42,0.010052,,0.183437,0.194896
43,0.010052,,0.189167,0.200052
44,0.010938,,0.262760,0.275052
45,0.010157,,0.183907,0.195208
46,0.010156,,0.186927,0.198229
47,0.010990,,0.185937,0.198177
48,0.009844,,0.186094,0.197136
49,0.009532,,0.187604,0.198125
50,0.010469,,0.184063,0.195677
51,0.010625,,0.184010,0.195572
52,0.010885,,0.189010,0.200834
53,0.009531,,0.181927,0.192500
54,0.008802,,0.181406,0.191198
55,0.009062,,0.182605,0.192552
56,0.008959,,0.182448,0.192395
57,0.008750,,0.180937,0.190625
58,0.009687,,0.188802,0.199427
59,0.010573,,0.186250,0.198073
60,0.010833,,0.183854,0.196042
61,0.010000,,0.276302,0.287240
62,0.009948,,0.184323,0.195416
63,0.010312,,0.266041,0.277188
64,0.009271,,0.187656,0.197917
65,0.010104,,0.182760,0.193802
66,0.011250,,0.185104,0.197500
67,0.010104,,0.187709,0.198542
68,0.010417,,0.185260,0.196823
69,0.010312,,0.290834,0.302448
70,0.010781,,0.187553,0.199115
71,0.011146,,0.184427,0.196511
72,0.010834,,0.186510,0.198541
73,0.010417,,0.188958,0.200261
74,0.010469,,0.185782,0.197292
75,0.010156,,0.184583,0.195885
76,0.010104,,0.187084,0.197917
77,0.010000,,0.184375,0.195625
78,0.010782,,0.183281,0.195208
79,0.010000,,0.188854,0.199583
80,0.009115,,0.183750,0.193750
81,0.009479,,0.181198,0.191667
82,0.008438,,0.182448,0.192188
83,0.010365,,0.183959,0.195365
84,0.010469,,0.185625,0.197448
85,0.010260,,0.186562,0.198125
86,0.010260,,0.185260,0.196719
87,0.011094,,0.182344,0.194427
88,0.010209,,0.186771,0.197864
89,0.010313,,0.219114,0.230521
90,0.010260,,0.181563,0.193177
91,0.009687,,0.187969,0.198750
92,0.009895,,0.184115,0.195000
93,0.010625,,0.182864,0.194688
94,0.008594,,0.183802,0.193333
95,0.008230,,0.180833,0.190052
96,0.010573,,0.184166,0.195677
97,0.010104,,0.186459,0.197813
98,0.010105,,0.184791,0.196145
99,0.010365,,0.183489,0.195000
100,0.009687,,0.187031,0.197552
101,0.010625,,0.183020,0.194532
102,0.010052,,0.220365,0.231719
103,0.008645,,0.184687,0.194271
104,0.008750,,0.184427,0.194063
105,0.008959,,0.180208,0.190416
106,0.008437,,0.184271,0.193646
107,0.009063,,0.181875,0.295156
108,0.010313,,0.185782,0.197188
109,0.010625,,0.188490,0.200104
110,0.010937,,0.185156,0.197135
111,0.010260,,0.185156,0.196510
112,0.010313,,0.185885,0.197396
113,0.010156,,0.270468,0.281563
114,0.010000,,0.219635,0.230625
115,0.010000,,0.268907,0.279844
116,0.010521,,0.185208,0.197083
117,0.010781,,0.185052,0.196979
118,0.010105,,0.188958,0.200520
119,0.010365,,0.291823,0.303177
120,0.010469,,0.185990,0.197396
121,0.010625,,0.188855,0.200261
122,0.011042,,0.184844,0.196927
123,0.010157,,0.182708,0.194322
124,0.010677,,0.188333,0.199739
125,0.010938,,0.185677,0.197760
126,0.011094,,0.184739,0.197344
127,0.010416,,0.189219,0.200521
128,0.010781,,0.186928,0.198750
129,0.010469,,0.183125,0.194531
130,0.009166,,0.183593,0.193698
131,0.010313,,0.184219,0.195417
132,0.009167,,0.285416,0.295572
133,0.010833,,0.187916,0.199688
134,0.010833,,0.185312,0.197187
