index,acq_ms,proc_ms,write_ms,frame_ms
35,0.009270,3.021198,0.117865,3.149635
36,0.009167,3.061354,0.109635,3.181407
37,0.008490,3.061823,0.111980,3.183438
38,0.009323,3.069218,0.120937,3.200677
39,0.008697,3.090260,0.119896,3.220000
40,0.008490,3.077552,0.119010,3.206511
41,0.009375,3.021354,0.115782,3.147709
42,0.009271,3.061406,0.113437,3.185573
43,0.009063,3.066719,0.112344,3.189427
44,0.009271,3.066927,0.115104,3.192448
45,0.009427,3.075208,0.120053,3.206042
46,0.008594,3.073959,0.118125,3.201979
47,0.008697,3.022240,0.116979,3.149218
48,0.009791,3.060260,0.109843,3.181146
49,0.008646,3.057239,0.111198,3.178542
50,0.008958,3.119114,0.120260,3.249688
51,0.008698,3.082969,0.118541,3.211615
52,0.008698,3.081458,0.118750,3.210261
53,0.008959,3.022500,0.115521,3.148438
54,0.009114,3.083541,0.108594,3.202344
55,0.008750,3.068906,0.115677,3.194688
56,0.009010,3.069323,0.118281,3.197969
57,0.009010,3.093230,0.121041,3.224636
58,0.008542,3.083281,0.117239,3.210156
59,0.009114,3.023646,0.119688,3.153646
60,0.009167,3.027083,0.111042,3.148437
61,0.008386,3.068229,0.112396,3.190209
62,0.009167,3.077969,0.119375,3.207760
63,0.008854,3.091615,0.117604,3.219323
64,0.008438,3.094271,0.116302,3.220261
65,0.009010,3.023333,0.113959,3.147396
66,0.008958,3.021718,0.106615,3.138906
67,0.008438,3.068906,0.109375,3.187916
68,0.009323,3.073073,0.113229,3.196823
69,0.009115,3.088438,0.115729,3.214636
70,0.008646,3.073386,0.120000,3.203281
71,0.009219,3.023594,0.117292,3.151354
72,0.008959,3.022188,0.107865,3.140209
73,0.008802,3.068542,0.110938,3.189948
74,0.009323,3.092500,0.116198,3.219427
75,0.008750,3.111458,0.120885,3.242968
76,0.008750,3.083073,0.116771,3.210104
77,0.008907,3.020625,0.241979,3.272604
78,0.009271,3.020209,0.103698,3.134323
79,0.008230,3.056094,0.110730,3.176302
80,0.008959,3.069636,0.119167,3.199062
81,0.008958,3.069219,0.117240,3.197031
82,0.008541,3.071250,0.113959,3.195104
83,0.009167,3.084531,0.125886,3.221094
84,0.008281,3.014271,0.105781,3.129583
85,0.010312,3.162083,0.102604,3.276562
86,0.008750,3.072031,0.115052,3.197240
87,0.008959,3.087552,0.119010,3.217395
88,0.010313,3.090261,0.094792,3.197291
89,0.008073,3.077187,0.120937,3.207500
90,0.009115,3.021822,0.107188,3.139636
91,0.010000,3.051093,0.112969,3.175417
92,0.007865,3.064792,0.114531,3.188334
93,0.009375,3.067864,0.119167,3.197813
94,0.008594,3.061719,0.120052,3.191771
95,0.008594,3.135833,0.121406,3.267708
96,0.009011,3.023438,0.111719,3.145417
97,0.009375,3.059323,0.111771,3.181719
98,0.009375,3.061614,0.119739,3.192032
99,0.008855,3.064896,0.118646,3.193593
100,0.009166,3.084011,0.118958,3.213542
101,0.008542,3.078490,0.121198,3.209167
102,0.009271,3.022969,0.105572,3.139167
103,0.009114,3.060625,0.115573,3.186875
104,0.008542,3.074532,0.116458,3.201094
105,0.009375,3.070834,0.118907,3.200677
106,0.009166,3.075416,0.117604,3.203281
107,0.008594,3.082084,0.120365,3.212292
108,0.009480,3.021771,0.110937,3.143489
109,0.009531,3.061302,0.110938,3.183125
110,0.008854,3.069583,0.115052,3.194740
111,0.009531,3.077552,0.117760,3.206093
112,0.009062,3.078021,0.119166,3.207813
113,0.008646,3.069635,0.117187,3.196615
114,0.008750,3.044010,0.109323,3.163490
115,0.009167,3.070677,0.108698,3.189740
116,0.008958,3.066875,0.115469,3.192552
117,0.009635,3.071146,0.117865,3.200104
118,0.009323,3.075885,0.108958,3.195573
119,0.009063,3.104062,0.123802,3.238229
120,0.009635,3.023697,0.107396,3.141927
121,0.009739,3.033021,0.110678,3.154948
122,0.008802,3.071250,0.115521,3.196718
123,0.009219,3.068177,0.111354,3.190000
124,0.008646,3.142916,0.114584,3.267917
125,0.007916,3.080625,0.118646,3.208437
126,0.008698,3.022761,0.107084,3.139688
127,0.008958,3.021563,0.112240,3.144167
128,0.008802,3.247916,0.122187,3.380260
129,0.011614,3.056979,0.117864,3.187812
130,0.009375,3.053593,0.119531,3.183750
131,0.008646,3.076771,0.116250,3.203177
132,0.009323,3.033385,0.169479,3.213489
133,0.008854,3.201875,0.119115,3.331250
134,0.010260,3.051979,0.115989,3.179531
